movie_id_raw,title,movie_title,year,poster_url,source,source_id,matched_title,updated_at
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,https://en.wikipedia.org/wiki/Special:FilePath/Leaving_las_vegas_ver1.jpg,wikipedia-infobox,54160,Leaving Las Vegas,2026-06-20T13:34:23+00:00
26,Othello (1995),Othello,1995,https://en.wikipedia.org/wiki/Special:FilePath/Othelloposter.jpg,wikipedia-infobox,5920233,Othello (1995 film),2026-06-20T13:34:21+00:00
27,Now and Then (1995),Now and Then,1995,https://en.wikipedia.org/wiki/Special:FilePath/Now_and_Then_%281995_film%29_poster.jpg,wikipedia-infobox,2045991,Now and Then (film),2026-06-20T13:34:21+00:00
28,Persuasion (1995),Persuasion,1995,https://en.wikipedia.org/wiki/Special:FilePath/Persuasion_VHS_PAL_BBC_1995.png,wikipedia-infobox,3640544,Persuasion (1995 film),2026-06-20T13:34:21+00:00
29,"City of Lost Children, The (1995)","City of Lost Children, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/City_of_lost_children_french_movie_poster.jpg,wikipedia-infobox,472652,The City of Lost Children,2026-06-20T13:34:23+00:00
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,https://en.wikipedia.org/wiki/Special:FilePath/Shanghai_Triad_poster.jpg,wikipedia-infobox,894709,Shanghai Triad,2026-06-20T20:31:24+00:00
31,Dangerous Minds (1995),Dangerous Minds,1995,https://en.wikipedia.org/wiki/Special:FilePath/Dangerous_minds.jpg,wikipedia-infobox,1476567,Dangerous Minds,2026-06-20T13:34:23+00:00
32,Twelve Monkeys (1995),Twelve Monkeys,1995,https://en.wikipedia.org/wiki/Special:FilePath/Twelve_monkeysmp.jpg,wikipedia-infobox,30575,12 Monkeys,2026-06-20T13:34:23+00:00
33,Wings of Courage (1995),Wings of Courage,1995,https://en.wikipedia.org/wiki/Special:FilePath/Wings_of_Courage.jpg,wikipedia-infobox,2106930,Wings of Courage,2026-06-20T13:34:23+00:00
34,Babe (1995),Babe,1995,https://en.wikipedia.org/wiki/Special:FilePath/Babe_ver1.jpg,wikipedia-infobox,142421,Babe (film),2026-06-20T13:34:21+00:00
35,Carrington (1995),Carrington,1995,https://en.wikipedia.org/wiki/Special:FilePath/Carrington_ver1.jpg,wikipedia-infobox,3096943,Carrington (film),2026-06-20T13:34:25+00:00
36,Dead Man Walking (1995),Dead Man Walking,1995,https://en.wikipedia.org/wiki/Special:FilePath/Deadmanwalkingp.jpg,wikipedia-infobox,6707631,Dead Man Walking (film),2026-06-20T13:34:25+00:00
37,Across the Sea of Time (1995),Across the Sea of Time,1995,https://en.wikipedia.org/wiki/Special:FilePath/Across_the_Sea_of_Time_Poster.jpg,wikipedia-infobox,33836443,Across the Sea of Time,2026-06-20T13:34:23+00:00
38,It Takes Two (1995),It Takes Two,1995,https://en.wikipedia.org/wiki/Special:FilePath/It_Takes_Two_%281995_film%29.jpg,wikipedia-infobox,4446490,It Takes Two (1995 film),2026-06-20T13:34:21+00:00
39,Clueless (1995),Clueless,1995,https://en.wikipedia.org/wiki/Special:FilePath/Clueless_film_poster.png,wikipedia-infobox,105872,Clueless,2026-06-20T13:34:23+00:00
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,https://en.wikipedia.org/wiki/Special:FilePath/Cry_the_beloved_country_ver2.jpg,wikipedia-infobox,10475655,"Cry, the Beloved Country (1995 film)",2026-06-20T13:34:21+00:00
41,Richard III (1995),Richard III,1995,https://en.wikipedia.org/wiki/Special:FilePath/Richard_III_1995.png,wikipedia-infobox,230546,Richard III (1995 film),2026-06-20T13:34:21+00:00
42,Dead Presidents (1995),Dead Presidents,1995,https://en.wikipedia.org/wiki/Special:FilePath/Dead_presidents.jpg,wikipedia-infobox,692670,Dead Presidents,2026-06-20T13:34:23+00:00
43,Restoration (1995),Restoration,1995,https://en.wikipedia.org/wiki/Special:FilePath/Restauration1995.jpg,wikipedia-infobox,171047,Restoration (1995 film),2026-06-20T13:34:21+00:00
44,Mortal Kombat (1995),Mortal Kombat,1995,https://en.wikipedia.org/wiki/Special:FilePath/Mortal_Kombat_poster.jpg,wikipedia-infobox,983044,Mortal Kombat (1995 film),2026-06-20T13:34:21+00:00
45,To Die For (1995),To Die For,1995,https://en.wikipedia.org/wiki/Special:FilePath/To_Die_For_%281995%29.png,wikipedia-infobox,284619,To Die For,2026-06-20T13:34:23+00:00
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,https://en.wikipedia.org/wiki/Special:FilePath/How_to_make_an_american_quilt.jpeg,wikipedia-infobox,1732142,How to Make an American Quilt,2026-06-20T13:34:23+00:00
47,Seven (Se7en) (1995),Seven (Se7en),1995,https://en.wikipedia.org/wiki/Special:FilePath/Seven_%28movie%29_poster.jpg,wikipedia-infobox,206818,Seven (1995 film),2026-06-20T20:31:23+00:00
48,Pocahontas (1995),Pocahontas,1995,https://en.wikipedia.org/wiki/Special:FilePath/Pocahontasposter.jpg,wikipedia-infobox,399433,Pocahontas (1995 film),2026-06-20T13:34:21+00:00
49,When Night Is Falling (1995),When Night Is Falling,1995,https://en.wikipedia.org/wiki/Special:FilePath/When_Night_Is_Falling_poster.jpg,wikipedia-infobox,4936733,When Night Is Falling,2026-06-20T13:34:23+00:00
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/Usual_suspects_ver1.jpg,wikipedia-infobox,167857,The Usual Suspects,2026-06-20T13:34:23+00:00
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995,https://en.wikipedia.org/wiki/Special:FilePath/Mighty_aphrodite_ver2.jpg,wikipedia-infobox,1330432,Mighty Aphrodite,2026-06-20T13:34:23+00:00
53,Lamerica (1994),Lamerica,1994,https://en.wikipedia.org/wiki/Special:FilePath/Lamerica_poster.jpg,wikipedia-infobox,1412856,Lamerica,2026-06-20T13:34:23+00:00
54,"Big Green, The (1995)","Big Green, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/Big_green.jpg,wikipedia-infobox,4800257,The Big Green,2026-06-20T13:34:23+00:00
55,Georgia (1995),Georgia,1995,https://en.wikipedia.org/wiki/Special:FilePath/Georgia_film.jpg,wikipedia-infobox,1379878,Georgia (1995 film),2026-06-20T13:34:21+00:00
56,Kids of the Round Table (1995),Kids of the Round Table,1995,https://m.media-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1_.jpg,imdb-suggest,tt0113541,Kids of the Round Table,2026-06-21T06:53:06+00:00
57,Home for the Holidays (1995),Home for the Holidays,1995,https://en.wikipedia.org/wiki/Special:FilePath/Home_for_the_Holidays_film.jpg,wikipedia-infobox,3077087,Home for the Holidays (1995 film),2026-06-20T13:34:21+00:00
58,"Postino, Il (The Postman) (1994)","Postino, Il (The Postman)",1994,https://en.wikipedia.org/wiki/Special:FilePath/Il_Postino_poster.jpg,wikipedia-search,142423,Il Postino: The Postman,2026-06-21T05:43:04+00:00
59,"Confessional, The (Le Confessionnal) (1995)","Confessional, The (Le Confessionnal)",1995,https://en.wikipedia.org/wiki/Special:FilePath/Le_Confessional.jpg,wikipedia-infobox,2455180,The Confessional (film),2026-06-20T20:31:24+00:00
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/The_Indian_in_the_Cupboard.jpg,wikipedia-infobox,725810,The Indian in the Cupboard,2026-06-20T13:34:23+00:00
61,Eye for an Eye (1996),Eye for an Eye,1996,https://en.wikipedia.org/wiki/Special:FilePath/Eye_for_an_Eye_%281996_film%29_poster.jpg,wikipedia-infobox,2192765,Eye for an Eye (1996 film),2026-06-20T13:34:21+00:00
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,https://en.wikipedia.org/wiki/Special:FilePath/Mr_Hollands_Opus.jpg,wikipedia-infobox,171076,Mr. Holland's Opus,2026-06-20T13:34:23+00:00
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://en.wikipedia.org/wiki/Special:FilePath/Dontbeamenace.jpg,wikipedia-infobox,2156510,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,2026-06-20T13:34:23+00:00
64,Two if by Sea (1996),Two if by Sea,1996,https://en.wikipedia.org/wiki/Special:FilePath/Two_if_by_sea_poster.jpg,wikipedia-infobox,Q1519553,Two If by Sea,2026-06-20T13:35:20+00:00
65,Bio-Dome (1996),Bio-Dome,1996,https://en.wikipedia.org/wiki/Special:FilePath/BioDomeposter.jpg,wikipedia-infobox,2198940,Bio-Dome,2026-06-20T13:34:23+00:00
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996,https://en.wikipedia.org/wiki/Special:FilePath/Lawnmower_Man_2.jpg,wikipedia-infobox,7596042,Lawnmower Man 2: Beyond Cyberspace,2026-06-20T13:34:23+00:00
67,Two Bits (1995),Two Bits,1995,https://en.wikipedia.org/wiki/Special:FilePath/Two_bits_poster.jpg,wikipedia-infobox,11958595,Two Bits,2026-06-20T13:34:23+00:00
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,https://en.wikipedia.org/wiki/Special:FilePath/Gazon_Maudit_1995_poster.jpg,wikipedia-infobox,9524972,French Twist (film),2026-06-20T20:31:24+00:00
69,Friday (1995),Friday,1995,https://en.wikipedia.org/wiki/Special:FilePath/Fridayposter1995.jpg,wikipedia-infobox,169788,Friday (1995 film),2026-06-20T13:34:21+00:00
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,https://en.wikipedia.org/wiki/Special:FilePath/From_dusk_till_dawn_poster.jpg,wikipedia-infobox,447299,From Dusk till Dawn,2026-06-20T13:34:23+00:00
71,Fair Game (1995),Fair Game,1995,https://en.wikipedia.org/wiki/Special:FilePath/fair_game.jpg,wikipedia-infobox,1676282,Fair Game (1995 film),2026-06-20T13:34:21+00:00
72,Kicking and Screaming (1995),Kicking and Screaming,1995,https://en.wikipedia.org/wiki/Special:FilePath/Kicking_and_Screaming_%281995_film%29_poster.jpg,wikipedia-infobox,1745419,Kicking and Screaming (1995 film),2026-06-20T13:34:22+00:00
73,"Misérables, Les (1995)","Misérables, Les",1995,https://en.wikipedia.org/wiki/Special:FilePath/Les_Mis%C3%A9rables_%281995_film%29.jpg,wikipedia-search,1261542,Les Misérables (1995 film),2026-06-21T05:43:06+00:00
74,Bed of Roses (1996),Bed of Roses,1996,https://en.wikipedia.org/wiki/Special:FilePath/Bed_of_roses.jpg,wikipedia-infobox,3207603,Bed of Roses (1996 film),2026-06-20T13:34:22+00:00
75,Big Bully (1996),Big Bully,1996,https://en.wikipedia.org/wiki/Special:FilePath/Big_Bully.jpg,wikipedia-infobox,6590245,Big Bully (film),2026-06-20T13:34:25+00:00
76,Screamers (1995),Screamers,1995,https://en.wikipedia.org/wiki/Special:FilePath/Screamersposter.jpg,wikipedia-infobox,1011439,Screamers (1995 film),2026-06-20T13:34:22+00:00
77,Nico Icon (1995),Nico Icon,1995,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_.jpg,imdb-suggest,tt0113973,Nico Icon,2026-06-21T06:53:07+00:00
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/Crossing_guard_ver1.jpg,wikipedia-infobox,2274585,The Crossing Guard,2026-06-20T13:34:23+00:00
79,"Juror, The (1996)","Juror, The",1996,https://en.wikipedia.org/wiki/Special:FilePath/The_Juror.jpg,wikipedia-infobox,2142721,The Juror,2026-06-20T13:34:23+00:00
80,"White Balloon, The (Badkonake Sefid ) (1995)","White Balloon, The (Badkonake Sefid )",1995,https://en.wikipedia.org/wiki/Special:FilePath/%D8%A8%D8%A7%D8%AF%DA%A9%D9%86%DA%A9_%D8%B3%D9%81%DB%8C%D8%AF_%28%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%DB%B1-%DB%B2%29.jpg,wikipedia-infobox,5012700,The White Balloon,2026-06-20T20:31:24+00:00
81,Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead,1995,https://en.wikipedia.org/wiki/Special:FilePath/Denverdead.jpg,wikipedia-infobox,Q1169589,Things to Do in Denver When You're Dead,2026-06-20T13:35:20+00:00
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995,https://en.wikipedia.org/wiki/Special:FilePath/Antoniasline.jpg,wikipedia-infobox,10973612,Antonia's Line,2026-06-20T20:31:23+00:00
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995,https://en.wikipedia.org/wiki/Special:FilePath/Once_Upon_a_Time...When_We_Were_Colored.jpg,wikipedia-infobox,30886462,Once Upon a Time... When We Were Colored,2026-06-20T13:34:23+00:00
84,Last Summer in the Hamptons (1995),Last Summer in the Hamptons,1995,https://en.wikipedia.org/wiki/Special:FilePath/Last_Summer_in_the_Hamptons.jpg,wikipedia-infobox,20603228,Last Summer in the Hamptons,2026-06-20T13:34:23+00:00
85,Angels and Insects (1995),Angels and Insects,1995,https://en.wikipedia.org/wiki/Special:FilePath/Angels_and_insects.jpg,wikipedia-infobox,2280521,Angels and Insects,2026-06-20T13:34:23+00:00
86,White Squall (1996),White Squall,1996,https://en.wikipedia.org/wiki/Special:FilePath/Whitesquall.jpg,wikipedia-infobox,2430261,White Squall (film),2026-06-20T13:34:25+00:00
87,Dunston Checks In (1996),Dunston Checks In,1996,https://en.wikipedia.org/wiki/Special:FilePath/Dunston_Checks_In.jpg,wikipedia-infobox,2541757,Dunston Checks In,2026-06-20T13:34:23+00:00
88,Black Sheep (1996),Black Sheep,1996,https://en.wikipedia.org/wiki/Special:FilePath/BlackSheep_Poster.jpg,wikipedia-infobox,1039322,Black Sheep (1996 film),2026-06-20T13:34:22+00:00
89,Nick of Time (1995),Nick of Time,1995,https://en.wikipedia.org/wiki/Special:FilePath/nick_of_time.jpg,wikipedia-infobox,1881878,Nick of Time (film),2026-06-20T13:34:25+00:00
90,"Journey of August King, The (1995)","Journey of August King, The",1995,https://m.media-amazon.com/images/M/MV5BYTVlZDBiMzQtZGU1Yy00YmFlLWFiNmUtZTZkZTRlNjM1NmUwXkEyXkFqcGc@._V1_.jpg,imdb-suggest,tt0113490,The Journey of August King,2026-06-21T06:53:07+00:00
92,Mary Reilly (1996),Mary Reilly,1996,https://en.wikipedia.org/wiki/Special:FilePath/Mary_Reilly.jpg,wikipedia-infobox,2102101,Mary Reilly (film),2026-06-20T13:34:25+00:00
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995,https://en.wikipedia.org/wiki/Special:FilePath/Vampire_in_brooklyn.jpg,wikipedia-infobox,3056404,Vampire in Brooklyn,2026-06-20T13:34:23+00:00
94,Beautiful Girls (1996),Beautiful Girls,1996,https://en.wikipedia.org/wiki/Special:FilePath/Beautiful_girlsmovieposter.jpg,wikipedia-infobox,42222,Beautiful Girls (film),2026-06-20T13:34:25+00:00
95,Broken Arrow (1996),Broken Arrow,1996,https://en.wikipedia.org/wiki/Special:FilePath/Broken-Arrow-poster.jpg,wikipedia-infobox,524813,Broken Arrow (1996 film),2026-06-20T13:34:22+00:00
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995,https://en.wikipedia.org/wiki/Special:FilePath/A_Midwinter%27s_Tale.jpg,wikipedia-infobox,803813,In the Bleak Midwinter (film),2026-06-20T13:34:25+00:00
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995,https://en.wikipedia.org/wiki/Special:FilePath/Haine.jpg,wikipedia-infobox,497081,La Haine,2026-06-20T20:31:23+00:00
98,Shopping (1994),Shopping,1994,https://en.wikipedia.org/wiki/Special:FilePath/Shoppingdvd.jpg,wikipedia-infobox,4910616,Shopping (1994 film),2026-06-20T13:34:22+00:00
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995,https://en.wikipedia.org/wiki/Special:FilePath/Heidi_Fleiss%2C_Hollywood_Madam.jpeg,wikipedia-infobox,1588008,Heidi Fleiss: Hollywood Madam,2026-06-20T13:34:24+00:00
100,City Hall (1996),City Hall,1996,https://en.wikipedia.org/wiki/Special:FilePath/City_hall_ver1.jpg,wikipedia-infobox,1031157,City Hall (1996 film),2026-06-20T13:34:22+00:00
101,Bottle Rocket (1996),Bottle Rocket,1996,https://en.wikipedia.org/wiki/Special:FilePath/Bottle_Rocket_%281996_film_poster%29.png,wikipedia-infobox,524139,Bottle Rocket,2026-06-20T13:34:24+00:00
102,Mr. Wrong (1996),Mr. Wrong,1996,https://en.wikipedia.org/wiki/Special:FilePath/Mr_wrong.jpg,wikipedia-infobox,7517898,Mr. Wrong,2026-06-20T13:34:24+00:00
103,Unforgettable (1996),Unforgettable,1996,https://en.wikipedia.org/wiki/Special:FilePath/Unforgettable_poster.jpg,wikipedia-infobox,3356006,Unforgettable (1996 film),2026-06-20T13:35:23+00:00
104,Happy Gilmore (1996),Happy Gilmore,1996,https://en.wikipedia.org/wiki/Special:FilePath/Happygilmoreposter.jpg,wikipedia-infobox,400797,Happy Gilmore,2026-06-20T13:35:25+00:00
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/BridgesOfMadisonCounty.jpg,wikipedia-infobox,781863,The Bridges of Madison County,2026-06-20T13:35:25+00:00
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994,https://en.wikipedia.org/wiki/Special:FilePath/Nobody_Loves_Me_Poster.jpg,wikipedia-infobox,76301362,Nobody Loves Me (film),2026-06-20T20:31:25+00:00
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996,https://en.wikipedia.org/wiki/Special:FilePath/Muppettreasure.png,wikipedia-infobox,1458752,Muppet Treasure Island,2026-06-20T13:35:25+00:00
108,Catwalk (1995),Catwalk,1995,https://en.wikipedia.org/wiki/Special:FilePath/Catwalk_1995_poster.jpg,wikipedia-infobox,41722461,Catwalk (film),2026-06-20T13:35:23+00:00
110,Braveheart (1995),Braveheart,1995,https://en.wikipedia.org/wiki/Special:FilePath/Braveheart_s6bvs6wz.png,wikipedia-infobox,4560,Braveheart,2026-06-20T13:35:23+00:00
111,Taxi Driver (1976),Taxi Driver,1976,https://en.wikipedia.org/wiki/Special:FilePath/Taxi_Driver_%281976_film_poster%29.jpg,wikipedia-infobox,30000,Taxi Driver,2026-06-20T13:35:23+00:00
112,Rumble in the Bronx (1995),Rumble in the Bronx,1995,https://en.wikipedia.org/wiki/Special:FilePath/Rumble-in-the-Bronx-poster.jpg,wikipedia-infobox,165990,Rumble in the Bronx,2026-06-20T13:35:25+00:00
113,Before and After (1996),Before and After,1996,https://en.wikipedia.org/wiki/Special:FilePath/Before_and_after_poster.jpg,wikipedia-infobox,5455297,Before and After (film),2026-06-20T13:35:27+00:00
114,Margaret's Museum (1995),Margaret's Museum,1995,https://en.wikipedia.org/wiki/Special:FilePath/Margaret%27s_Museum.jpg,wikipedia-infobox,1744708,Margaret's Museum,2026-06-20T13:35:25+00:00
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995,https://en.wikipedia.org/wiki/Special:FilePath/AnneFrankRememberedDVDCover.jpg,wikipedia-infobox,1447939,Anne Frank Remembered,2026-06-20T13:35:25+00:00
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995,https://en.wikipedia.org/wiki/Special:FilePath/The_Young_Poisoner%27s_Handbook_FilmPoster.jpeg,wikipedia-infobox,1641666,The Young Poisoner's Handbook,2026-06-20T13:35:25+00:00
118,If Lucy Fell (1996),If Lucy Fell,1996,https://en.wikipedia.org/wiki/Special:FilePath/iflucyfell.jpg,wikipedia-infobox,5649318,If Lucy Fell,2026-06-20T13:35:25+00:00
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995,https://en.wikipedia.org/wiki/Special:FilePath/Poster_of_the_movie_Steal_Big_Steal_Little.jpg,wikipedia-infobox,24158745,Steal Big Steal Little,2026-06-20T13:35:25+00:00
120,Race the Sun (1996),Race the Sun,1996,https://en.wikipedia.org/wiki/Special:FilePath/Race_the_Sun_film_poster.jpg,wikipedia-infobox,5079733,Race the Sun (film),2026-06-20T13:35:27+00:00
121,"Boys of St. Vincent, The (1993)","Boys of St. Vincent, The",1993,https://en.wikipedia.org/wiki/Special:FilePath/The_Boys_of_St._Vincent_1992.jpg,wikipedia-infobox,6724750,The Boys of St. Vincent,2026-06-20T13:35:25+00:00
122,Boomerang (1992),Boomerang,1992,https://en.wikipedia.org/wiki/Special:FilePath/Boomerang-Posters.jpg,wikipedia-infobox,1961084,Boomerang (1992 film),2026-06-20T13:35:23+00:00
123,Chungking Express (1994),Chungking Express,1994,https://en.wikipedia.org/wiki/Special:FilePath/Chungking_Express.jpg,wikipedia-infobox,213471,Chungking Express,2026-06-20T13:35:25+00:00
124,"Star Maker, The (Uomo delle stelle, L') (1995)","Star Maker, The (Uomo delle stelle, L')",1995,https://en.wikipedia.org/wiki/Special:FilePath/The_Star_Maker_FilmPoster.jpeg,wikipedia-infobox,1902589,The Star Maker (1995 film),2026-06-20T20:31:23+00:00
125,Flirting With Disaster (1996),Flirting With Disaster,1996,https://en.wikipedia.org/wiki/Special:FilePath/Flirting_with_Disaster_Poster.jpg,wikipedia-infobox,90039,Flirting with Disaster (film),2026-06-20T13:35:27+00:00
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994,https://en.wikipedia.org/wiki/Special:FilePath/Tnes3.jpg,wikipedia-infobox,2994014,The NeverEnding Story III,2026-06-20T13:35:25+00:00
127,"Silence of the Palace, The (Saimt el Qusur) (1994)","Silence of the Palace, The (Saimt el Qusur)",1994,https://en.wikipedia.org/wiki/Special:FilePath/Poster_samt_alqusur.jpg,wikipedia-search,21536300,The Silences of the Palace,2026-06-21T05:44:07+00:00
128,Jupiter's Wife (1994),Jupiter's Wife,1994,https://m.media-amazon.com/images/M/MV5BMTI3ODIyODY4N15BMl5BanBnXkFtZTcwNjE3MjUyMQ@@._V1_.jpg,imdb-suggest,tt0110217,Jupiter's Wife,2026-06-21T07:25:16+00:00
129,Pie in the Sky (1995),Pie in the Sky,1995,https://en.wikipedia.org/wiki/Special:FilePath/Pieintheskyposter.jpg,wikipedia-infobox,16488851,Pie in the Sky (1995 film),2026-06-20T13:35:23+00:00
130,Angela (1995),Angela,1995,https://en.wikipedia.org/wiki/Special:FilePath/Angela_poster.jpg,wikipedia-infobox,4954419,Angela (1995 film),2026-06-20T13:35:23+00:00
